name,hall,stand,industry,email,website,address,country,about,url
AAL Group,1,1A-07,Aircraft and Aviation Technologies,bd@aal-group.com,aal-group.com,"AAL Group Ltd, P.O.Box: 8231, Sharjah Airport International Free (SAIF) Zone, O4-02, Sharjah, UAE",Emirates,"AAL Group Ltd. is a UAE-based aviation Maintenance, Repair and Overhaul (MRO) organization specializing in rotary-wing platforms. The company has evolved into a full-scale facility for overhaul, repair, modification, production, and integration, delivering comprehensive aviation support services to customers worldwide.",https://sahaexpo.com/en/katilimci/aal-group
AARO YAZILIM,3,3B-07,Software and Artificial Intelligence,eyigit@aaro.com.tr,www.aaro.com.tr,Güzelhisar Mahallesi Turgut Reis Sokak No: 2 Akyurt/Ankara,Türkiye,"AARO Yazılım ve Makina A.Ş.(Software & Machinery Inc.) is a technology firm that develops ERP software solutions, digital transformation systems, and business process automation for businesses. We offer custom software solutions that integrate production, logistics, finance, and management processes on a single platform. In this way, we increase the operational efficiency of companies and make their processes more transparent, fast, and controllable. Our expert software team provides long-term technology support to its customers by developing scalable, secure, and user-friendly ERP systems according to sectoral needs. As AARO, our goal is to increase the competitiveness of enterprises by integrating technology into business processes and to be a reliable solution partner in their digital transformation journeys. Our Solution Titles: Production Process Tracking Production Planning Tracking Quality Control Processes and Traceability Stock and Warehouse Management Accounting Process Tracking Finance Management Purchasing & Sales Marketing Management",https://sahaexpo.com/en/katilimci/aaro-yazilim
AATECH,7,7C-06,,sales@siglent.com,www.siglenteu.com,"SIGLENT TECHNOLOGIES CO., LTD. Bldg No.4 & No.5, Antongda Industrial Zone, 3rd Liuxian Road, Bao’an District, Shenzhen, 518101, China.",China,"SIGLENT is a global leader in the design and manufacture of electronic test and measurement instruments that provide high accuracy data, dependable quality, and a smart user interface at prices that deliver value for many years. Product innovation is a key driver for the company as it invests more than 15% of total sales into R&D and owns many patents for its advanced technologies.",https://sahaexpo.com/en/katilimci/aatech
ABLIC,2,2C-05,,info@e-kom.com,www.ablic.com,"1-9-3 Higashi-shimbashi, Minato-ku, Tokyo 105-0021, JAPAN",Japan,"This will be achieved by leveraging synergy with the technological capabilities of the MinebeaMitsumi Group in a manner that is based on both our management philosophy of “To continue supporting people's rich and joyful lives by opening a path to the future with our innovative thinking, technology, and actions” and also on our motto “ABLIC can do it.”",https://sahaexpo.com/en/katilimci/ablic
ABM GROUP,8,8J-18b,Machinery and Other Manufacturing Equipment,info@abmgroup.com.tr,www.abmgrinding.com,"ITOB OSB Mah. ITOB Atatürk Caddesi No:56, Menderes - İZMİR, TÜRKİYE",Türkiye,"ABM Grinding Technology, which began its activities in the woodworking machinery industry in 1965 with the production of grinding machines, is now the company with the most product variety in the metal and woodworking machinery sectors in the world, with the production of grinding machines and welding machines, thanks to its investments and understanding of quality service. ABM, whose foundations were laid by our founder Saim Keşoğlu in Izmir on a 150m² plot, has been renewing itself for three generations and continues its activities and new technology developments at its 20.000m² facility in ITOB OSB. It is striving hard to become a global organization, with sales offices in the Netherlands, England, India, Macedonia, and Poland, in addition to technical help and after-sales service.",https://sahaexpo.com/en/katilimci/abm-group
ABRAMAK,2,2B-02,"Communication, Command Control, and Information Technologies, Information Technologies, Electronic & Electromechanical Systems, Electronic Warfare and Directed Energy Technologies, Cybersecurity, Software and Artificial Intelligence, Unmanned Systems, Space Technologies and Satellite Systems",info@abramakbilisim.com,www.abramakbilisim.com,İstanbul Teknoloji Geliştirme Bölgesi Sanayi Mah. Teknopark Bulvarı No: 1/4A Blok No: 113-114-115 34906,Türkiye,"ABRAMAK Information Technologies was established in December 2016 as a joint-stock company with three partners. Vision To enhance national technological capabilities in all forms of wired and wireless data communication among all elements in both tactical (battlefield) and strategic (command headquarters) environments, and to become a globally recognized authority in this field through its contributions and developments. Scope of Activities To ensure uninterrupted, secure, and lossless data communication among all elements in tactical (battlefield) and strategic (command headquarters) environments by developing all types of devices, protocols, systems, integrations, and technologies based on national capabilities. ABRAMAK Information Technologies has developed the Ship Integrated Communication System – ACCMS concept in order to protect our nation’s rights and interests and to meet the operational and mission requirements of the Turkish Armed Forces. Based on an IP-based, modular, and open architecture design, the ACCMS (Advanced Communication Control Management System) provides technical and operational solutions for all classes of naval platforms through its integrated communication capability. ACCMS utilizes the latest technologies and features interfaces capable of seamlessly integrating both legacy and modern communication components. National & Indigenous Systems and Solutions The systems and devices we have developed entirely as domestic and national technologies are listed below: ACCMS (Software-Based Advanced Communication Control and Management System) – operates independently of any specific system or device UTS (Software-Based Multi-Functional IP User Terminal – Voice Terminal) S-AMPS (Message Handling System) ABR-PAS (Software-Based Ship IP Alarm & Public Address System) ABR-TSB (Software-Based Ship IP Telephony System) ABR-GBS (Ship Information Management System)",https://sahaexpo.com/en/katilimci/abramak
AC PROJE TASARIM,8,8H-25,"Aircraft and Aviation Technologies, Electronic & Electromechanical Systems, Unmanned Systems, Cabling and Power Distribution Systems",info@actasarim.com.tr,www.actasarim.com.tr,Saray OSB MAh. G2 Caddesi No:7 Kahramankazan / ANKARA,Türkiye,"Founded in 2003, AC Tasarım Inc. is a leading technology company that develops and manufactures high-performance EMI cable shielding and protection solutions for the defence and aerospace industries. Exporting more than 85% of its production to customers worldwide, our company continues its operations at its modern manufacturing facility located in the HAB Organized Industrial Zone in Ankara. Continuously expanding its global operations, AC Tasarım operates in the United States through AC Tasarım USA Inc. as a manufacturing and technical support center, while AC Tasarım UK Ltd. provides sales and logistics services across Europe and worldwide. Our company is also the sole authorized distributor of Holland Shielding Systems in Türkiye, Azerbaijan, and the Turkish Republic of Northern Cyprus (TRNC). In addition, our products reach global markets through strong international distributor networks such as Digi-Key, TTI RayQ, WireMasters, Sea Wire, FDH Aero, Astute, Empa Electronics, Navea Electronics, Swelex, and Cambridge Technologies. Technology and Quality Standards With an annual production capacity exceeding 5 million meters, AC Tasarım carries out its manufacturing activities in compliance with the AS/EN 9100 aerospace quality management system standards. In tin- and nickel-plated copper braid products, our company is one of the three manufacturers worldwide holding the VG 95211 certification, and at the same time the only AA59569-D (MIL-SPEC) manufacturer in Europe. Our high-technology product, AeroBraid™, offers up to 75% weight advantage and 4.8 times higher tensile strength compared to conventional cable shielding solutions. Thanks to these superior features, AeroBraid™ is preferred in many critical platforms, particularly unmanned aerial vehicles (UAVs), satellite systems, and avionics applications. Contact: www.actasarim.com.tr | [email protected] HQ: HAB OSB G2 Caddesi No: 7 Kahramankazan, Ankara, TURKİYE USA: AC TASARIM USA Inc. | 309 N Park Dr, Suite 104, Rock Hill, SC 29730 UK: AC TASARIM UK Ltd. | 71-75 Shelton Street, Covent Garden, London, WC2H 9JQ",https://sahaexpo.com/en/katilimci/ac-proje-tasarim-san-ve-tic-as
ACME,1,1C-10b,"Information Technologies, Communication, Command Control, and Information Technologies, Electronic & Electromechanical Systems",info@acmeportable.de,acmeportable.de,"Benzstrasse 15, 76185 Karlsruhe, Germany",Germany,"At ACME Portable Computer GmbH, our mission is to empower industries worldwide by delivering cutting-edge portable computing solutions designed to perform in the most demanding environments. Each system we create is crafted to ensure durability, mobility, and high performance, enabling our clients to operate with confidence, even in the toughest conditions. Mission-Critical Applications Our ruggedized systems are purposefully engineered to thrive where standard hardware fails, making them the ideal solution for highly specialized field applications, including: Defence & Tactical Operations: Mobile command and control centers (C4ISR), portable ground control stations for unmanned systems (UAV/UGV/UUV), and mobile radar/sonar processing. Aerospace & Aviation: Flight telemetry monitoring, avionics testing, and secure mobile data acquisition. Advanced Field Intelligence: Edge AI inference, rapid-deployment network monitoring, and field diagnostics in harsh industrial or remote environments. We envision a future where our innovative technologies drive success in these challenging environments, setting new standards for portable computing across the defence, aerospace, and industrial sectors.",https://sahaexpo.com/en/katilimci/acme
Active Technologies,5,5J-03b,,sales@enox.com.tr,enox.com.tr/solution-partners/at,"Via Bela Bartok, 29/B, 44124 Ferrara FE, İtalya",Italy,"High-Resolution Signal GeneratorsThe Active Technologies Arbitrary Waveform and Pulse Generators product family/portfolio offer you a complete solution for your most challenging applications.High Sampling Rate and a Wide Analog Bandwidth combined with an unique High Voltage Output stage and 16 Bit Vertical Resolution, gives you the performances/tools for addressing the most demanding complex of real world tests.The highest signal density (number of channels) instruments on the market gives you the flexibility to address the nowadays applications where speed and number of DUT inputs are increasing day by day.The touch-based software interface gives you a super easy and intuitive user experience where your imagination is the limit to create the most complex waveforms: no more countless hours spent on programming your instrument, just plug the chord and play your waveforms.",https://sahaexpo.com/en/katilimci/active-technologies
ADCO PETROL,8,8H-12,"Motor Vehicle Systems, Weapons and Ammunitions, Machinery and Other Manufacturing Equipment",info@adco.com.tr,adco.com.tr,HACIMIMI MAH KEMERALTI CAD BALKAN HAN 15/4 KARAKÖY İSTANBUL,Türkiye,"Since 1996, as ADCO Petrol, we have been the sole authorized representative in Türkiye of NYCO S.A., one of the world’s four leading companies in the field of aviation and defence lubricants. We supply more than 300 products with MIL spec and NATO coded, manufactured in accordance with the highest quality standards and international approvals, offering comprehensive solutions to our customers across Türkiye. Our main product groups include: • Turbine Oils • Hydraulic Oils • Greases • Specialty Lubricants",https://sahaexpo.com/en/katilimci/adco-petrol
ADDEV MATERIALS,3,3E-22,,contact@addevmaterials.com,www.addevmaterials.com,"14, avenue Gutenberg 31120 Portet sur Garonne France",France,"ADDEV Materials is an international SME specialising in the distribution, processing (precision cutting, custom packaging and dosing, functionalisation) and manufacture of high-performance materials for manufacturers in the following sectors: Aerospace & Defence, Healthcare & Wellness, Industry & Electronics, Power & Mobility.",https://sahaexpo.com/en/katilimci/addev-materials
ADDVALUE,3,3F-01b,"Industrial Production Technologies and Robotic Systems, Material and Material Shaping Technologies, Machinery and Other Manufacturing Equipment, Design, Analysis, and Engineering Services, Unmanned Systems",info@addvalue.com.tr,www.addvalue.com.tr,Ankara,Türkiye,"AddValue Eklemeli İmalat is a leading engineering firm dedicated to the full adoption and seamless integration of additive manufacturing systems—commonly known as 3D printing and machining machines like lathes and milling machines—across diverse industries. With a focus on metal additive manufacturing and machining systems, AddValue bridges innovative technologies with practical industrial applications, empowering businesses to enhance production efficiency, reduce costs, and accelerate prototyping. Founded on expertise in manufacturing, the company serves as the trusted partner for cutting-edge solutions in Turkey and beyond. In addition, AddValue is a partner of ARTBOT, an autonomous floor cleaning robot designed for commercial and industrial environments. As of 2026, AddValue continues to expand its footprint by representing world-class manufacturers, ensuring clients access state-of-the-art equipment backed by comprehensive technical support. Our mission is simple: to deliver the best solutions tailored to your needs, from design to deployment. AddValue specializes in manufacturing systems, offering end-to-end services including system integration, technical consulting, and dedicated after-sales support. Our experienced technical service team provides on-site training, maintenance, and optimization to maximize ROI for every installation. We emphasize precision engineering, sustainability, and innovation, helping industries like aerospace, automotive, medical, and dental transition to additive processes.",https://sahaexpo.com/en/katilimci/addvalue
ADELIX,5,5J-10,,sales@adelix.pro,www.adelixturkiye.com,"Korkutreis Mah. Lale Cad.
Özge Business Center No: 17
internal Door No: 12
Çankaya / Ankara / Turkey",Ukraine,,https://sahaexpo.com/en/katilimci/adelix
ADIYAMAN KABLO,1,1F-30a,Cabling and Power Distribution Systems,info@adiyamankablo.com.tr,adiyamankablo.com.tr,Petrolosb Mah. 7 Cad. No: 9 Merkez / Adiyaman,Türkiye,"Adıyaman Cable Connector Inc. (AKK) was established on June 7, 2024, with the aim of making a strategic contribution to Türkiye’s aviation and space industry by producing mission-critical aviation cables, connectors, and cable assemblies through high-technology and flexible solutions. The company aims to provide the design, development, mass production, and after-sales services of cable, connector, and cable assembly systems in compliance with relevant standards, utilizing domestic and national capabilities. Beyond being solely a manufacturing company, AKK was founded to create a qualified workforce in Adıyaman, enable technology transfer, and contribute to the socio-economic transformation of the region. By developing advanced technology solutions for various sectors—primarily aviation, automotive, energy, and telecommunications—we bring our engineering expertise to the global stage and create sustainable value in the international market.",https://sahaexpo.com/en/katilimci/adiyaman-kablo
