name,hall,stand,industry,email,website,address,country,about,url
AAL Group,1,1A-07,Aircraft and Aviation Technologies,bd@aal-group.com,aal-group.com,"AAL Group Ltd, P.O.Box: 8231, Sharjah Airport International Free (SAIF) Zone, O4-02, Sharjah, UAE",Emirates,"AAL Group Ltd. is a UAE-based aviation Maintenance, Repair and Overhaul (MRO) organization specializing in rotary-wing platforms. The company has evolved into a full-scale facility for overhaul, repair, modification, production, and integration, delivering comprehensive aviation support services to customers worldwide.",https://sahaexpo.com/en/katilimci/aal-group
AARO YAZILIM,3,3B-07,Software and Artificial Intelligence,eyigit@aaro.com.tr,www.aaro.com.tr,Güzelhisar Mahallesi Turgut Reis Sokak No: 2 Akyurt/Ankara,Türkiye,"AARO Yazılım ve Makina A.Ş.(Software & Machinery Inc.) is a technology firm that develops ERP software solutions, digital transformation systems, and business process automation for businesses. We offer custom software solutions that integrate production, logistics, finance, and management processes on a single platform. In this way, we increase the operational efficiency of companies and make their processes more transparent, fast, and controllable. Our expert software team provides long-term technology support to its customers by developing scalable, secure, and user-friendly ERP systems according to sectoral needs. As AARO, our goal is to increase the competitiveness of enterprises by integrating technology into business processes and to be a reliable solution partner in their digital transformation journeys. Our Solution Titles: Production Process Tracking Production Planning Tracking Quality Control Processes and Traceability Stock and Warehouse Management Accounting Process Tracking Finance Management Purchasing & Sales Marketing Management",https://sahaexpo.com/en/katilimci/aaro-yazilim
AATECH,7,7C-06,,sales@siglent.com,www.siglenteu.com,"SIGLENT TECHNOLOGIES CO., LTD. Bldg No.4 & No.5, Antongda Industrial Zone, 3rd Liuxian Road, Bao’an District, Shenzhen, 518101, China.",China,"SIGLENT is a global leader in the design and manufacture of electronic test and measurement instruments that provide high accuracy data, dependable quality, and a smart user interface at prices that deliver value for many years. Product innovation is a key driver for the company as it invests more than 15% of total sales into R&D and owns many patents for its advanced technologies.",https://sahaexpo.com/en/katilimci/aatech
ABLIC,2,2C-05,,info@e-kom.com,www.ablic.com,"1-9-3 Higashi-shimbashi, Minato-ku, Tokyo 105-0021, JAPAN",Japan,"This will be achieved by leveraging synergy with the technological capabilities of the MinebeaMitsumi Group in a manner that is based on both our management philosophy of “To continue supporting people's rich and joyful lives by opening a path to the future with our innovative thinking, technology, and actions” and also on our motto “ABLIC can do it.”",https://sahaexpo.com/en/katilimci/ablic
ABM GROUP,8,8J-18b,Machinery and Other Manufacturing Equipment,info@abmgroup.com.tr,www.abmgrinding.com,"ITOB OSB Mah. ITOB Atatürk Caddesi No:56, Menderes - İZMİR, TÜRKİYE",Türkiye,"ABM Grinding Technology, which began its activities in the woodworking machinery industry in 1965 with the production of grinding machines, is now the company with the most product variety in the metal and woodworking machinery sectors in the world, with the production of grinding machines and welding machines, thanks to its investments and understanding of quality service. ABM, whose foundations were laid by our founder Saim Keşoğlu in Izmir on a 150m² plot, has been renewing itself for three generations and continues its activities and new technology developments at its 20.000m² facility in ITOB OSB. It is striving hard to become a global organization, with sales offices in the Netherlands, England, India, Macedonia, and Poland, in addition to technical help and after-sales service.",https://sahaexpo.com/en/katilimci/abm-group
ABRAMAK,2,2B-02,"Communication, Command Control, and Information Technologies, Information Technologies, Electronic & Electromechanical Systems, Electronic Warfare and Directed Energy Technologies, Cybersecurity, Software and Artificial Intelligence, Unmanned Systems, Space Technologies and Satellite Systems",info@abramakbilisim.com,www.abramakbilisim.com,İstanbul Teknoloji Geliştirme Bölgesi Sanayi Mah. Teknopark Bulvarı No: 1/4A Blok No: 113-114-115 34906,Türkiye,"ABRAMAK Information Technologies was established in December 2016 as a joint-stock company with three partners. Vision To enhance national technological capabilities in all forms of wired and wireless data communication among all elements in both tactical (battlefield) and strategic (command headquarters) environments, and to become a globally recognized authority in this field through its contributions and developments. Scope of Activities To ensure uninterrupted, secure, and lossless data communication among all elements in tactical (battlefield) and strategic (command headquarters) environments by developing all types of devices, protocols, systems, integrations, and technologies based on national capabilities. ABRAMAK Information Technologies has developed the Ship Integrated Communication System – ACCMS concept in order to protect our nation’s rights and interests and to meet the operational and mission requirements of the Turkish Armed Forces. Based on an IP-based, modular, and open architecture design, the ACCMS (Advanced Communication Control Management System) provides technical and operational solutions for all classes of naval platforms through its integrated communication capability. ACCMS utilizes the latest technologies and features interfaces capable of seamlessly integrating both legacy and modern communication components. National & Indigenous Systems and Solutions The systems and devices we have developed entirely as domestic and national technologies are listed below: ACCMS (Software-Based Advanced Communication Control and Management System) – operates independently of any specific system or device UTS (Software-Based Multi-Functional IP User Terminal – Voice Terminal) S-AMPS (Message Handling System) ABR-PAS (Software-Based Ship IP Alarm & Public Address System) ABR-TSB (Software-Based Ship IP Telephony System) ABR-GBS (Ship Information Management System)",https://sahaexpo.com/en/katilimci/abramak
AC PROJE TASARIM,8,8H-25,"Aircraft and Aviation Technologies, Electronic & Electromechanical Systems, Unmanned Systems, Cabling and Power Distribution Systems",info@actasarim.com.tr,www.actasarim.com.tr,Saray OSB MAh. G2 Caddesi No:7 Kahramankazan / ANKARA,Türkiye,"Founded in 2003, AC Tasarım Inc. is a leading technology company that develops and manufactures high-performance EMI cable shielding and protection solutions for the defence and aerospace industries. Exporting more than 85% of its production to customers worldwide, our company continues its operations at its modern manufacturing facility located in the HAB Organized Industrial Zone in Ankara. Continuously expanding its global operations, AC Tasarım operates in the United States through AC Tasarım USA Inc. as a manufacturing and technical support center, while AC Tasarım UK Ltd. provides sales and logistics services across Europe and worldwide. Our company is also the sole authorized distributor of Holland Shielding Systems in Türkiye, Azerbaijan, and the Turkish Republic of Northern Cyprus (TRNC). In addition, our products reach global markets through strong international distributor networks such as Digi-Key, TTI RayQ, WireMasters, Sea Wire, FDH Aero, Astute, Empa Electronics, Navea Electronics, Swelex, and Cambridge Technologies. Technology and Quality Standards With an annual production capacity exceeding 5 million meters, AC Tasarım carries out its manufacturing activities in compliance with the AS/EN 9100 aerospace quality management system standards. In tin- and nickel-plated copper braid products, our company is one of the three manufacturers worldwide holding the VG 95211 certification, and at the same time the only AA59569-D (MIL-SPEC) manufacturer in Europe. Our high-technology product, AeroBraid™, offers up to 75% weight advantage and 4.8 times higher tensile strength compared to conventional cable shielding solutions. Thanks to these superior features, AeroBraid™ is preferred in many critical platforms, particularly unmanned aerial vehicles (UAVs), satellite systems, and avionics applications. Contact: www.actasarim.com.tr | [email protected] HQ: HAB OSB G2 Caddesi No: 7 Kahramankazan, Ankara, TURKİYE USA: AC TASARIM USA Inc. | 309 N Park Dr, Suite 104, Rock Hill, SC 29730 UK: AC TASARIM UK Ltd. | 71-75 Shelton Street, Covent Garden, London, WC2H 9JQ",https://sahaexpo.com/en/katilimci/ac-proje-tasarim-san-ve-tic-as
ACME,1,1C-10b,"Information Technologies, Communication, Command Control, and Information Technologies, Electronic & Electromechanical Systems",info@acmeportable.de,acmeportable.de,"Benzstrasse 15, 76185 Karlsruhe, Germany",Germany,"At ACME Portable Computer GmbH, our mission is to empower industries worldwide by delivering cutting-edge portable computing solutions designed to perform in the most demanding environments. Each system we create is crafted to ensure durability, mobility, and high performance, enabling our clients to operate with confidence, even in the toughest conditions. Mission-Critical Applications Our ruggedized systems are purposefully engineered to thrive where standard hardware fails, making them the ideal solution for highly specialized field applications, including: Defence & Tactical Operations: Mobile command and control centers (C4ISR), portable ground control stations for unmanned systems (UAV/UGV/UUV), and mobile radar/sonar processing. Aerospace & Aviation: Flight telemetry monitoring, avionics testing, and secure mobile data acquisition. Advanced Field Intelligence: Edge AI inference, rapid-deployment network monitoring, and field diagnostics in harsh industrial or remote environments. We envision a future where our innovative technologies drive success in these challenging environments, setting new standards for portable computing across the defence, aerospace, and industrial sectors.",https://sahaexpo.com/en/katilimci/acme
Active Technologies,5,5J-03b,,sales@enox.com.tr,enox.com.tr/solution-partners/at,"Via Bela Bartok, 29/B, 44124 Ferrara FE, İtalya",Italy,"High-Resolution Signal GeneratorsThe Active Technologies Arbitrary Waveform and Pulse Generators product family/portfolio offer you a complete solution for your most challenging applications.High Sampling Rate and a Wide Analog Bandwidth combined with an unique High Voltage Output stage and 16 Bit Vertical Resolution, gives you the performances/tools for addressing the most demanding complex of real world tests.The highest signal density (number of channels) instruments on the market gives you the flexibility to address the nowadays applications where speed and number of DUT inputs are increasing day by day.The touch-based software interface gives you a super easy and intuitive user experience where your imagination is the limit to create the most complex waveforms: no more countless hours spent on programming your instrument, just plug the chord and play your waveforms.",https://sahaexpo.com/en/katilimci/active-technologies
ADCO PETROL,8,8H-12,"Motor Vehicle Systems, Weapons and Ammunitions, Machinery and Other Manufacturing Equipment",info@adco.com.tr,adco.com.tr,HACIMIMI MAH KEMERALTI CAD BALKAN HAN 15/4 KARAKÖY İSTANBUL,Türkiye,"Since 1996, as ADCO Petrol, we have been the sole authorized representative in Türkiye of NYCO S.A., one of the world’s four leading companies in the field of aviation and defence lubricants. We supply more than 300 products with MIL spec and NATO coded, manufactured in accordance with the highest quality standards and international approvals, offering comprehensive solutions to our customers across Türkiye. Our main product groups include: • Turbine Oils • Hydraulic Oils • Greases • Specialty Lubricants",https://sahaexpo.com/en/katilimci/adco-petrol
ADDEV MATERIALS,3,3E-22,,contact@addevmaterials.com,www.addevmaterials.com,"14, avenue Gutenberg 31120 Portet sur Garonne France",France,"ADDEV Materials is an international SME specialising in the distribution, processing (precision cutting, custom packaging and dosing, functionalisation) and manufacture of high-performance materials for manufacturers in the following sectors: Aerospace & Defence, Healthcare & Wellness, Industry & Electronics, Power & Mobility.",https://sahaexpo.com/en/katilimci/addev-materials
ADDVALUE,3,3F-01b,"Industrial Production Technologies and Robotic Systems, Material and Material Shaping Technologies, Machinery and Other Manufacturing Equipment, Design, Analysis, and Engineering Services, Unmanned Systems",info@addvalue.com.tr,www.addvalue.com.tr,Ankara,Türkiye,"AddValue Eklemeli İmalat is a leading engineering firm dedicated to the full adoption and seamless integration of additive manufacturing systems—commonly known as 3D printing and machining machines like lathes and milling machines—across diverse industries. With a focus on metal additive manufacturing and machining systems, AddValue bridges innovative technologies with practical industrial applications, empowering businesses to enhance production efficiency, reduce costs, and accelerate prototyping. Founded on expertise in manufacturing, the company serves as the trusted partner for cutting-edge solutions in Turkey and beyond. In addition, AddValue is a partner of ARTBOT, an autonomous floor cleaning robot designed for commercial and industrial environments. As of 2026, AddValue continues to expand its footprint by representing world-class manufacturers, ensuring clients access state-of-the-art equipment backed by comprehensive technical support. Our mission is simple: to deliver the best solutions tailored to your needs, from design to deployment. AddValue specializes in manufacturing systems, offering end-to-end services including system integration, technical consulting, and dedicated after-sales support. Our experienced technical service team provides on-site training, maintenance, and optimization to maximize ROI for every installation. We emphasize precision engineering, sustainability, and innovation, helping industries like aerospace, automotive, medical, and dental transition to additive processes.",https://sahaexpo.com/en/katilimci/addvalue
ADELIX,5,5J-10,,sales@adelix.pro,www.adelixturkiye.com,"Korkutreis Mah. Lale Cad.
Özge Business Center No: 17
internal Door No: 12
Çankaya / Ankara / Turkey",Ukraine,,https://sahaexpo.com/en/katilimci/adelix
ADIYAMAN KABLO,1,1F-30a,Cabling and Power Distribution Systems,info@adiyamankablo.com.tr,adiyamankablo.com.tr,Petrolosb Mah. 7 Cad. No: 9 Merkez / Adiyaman,Türkiye,"Adıyaman Cable Connector Inc. (AKK) was established on June 7, 2024, with the aim of making a strategic contribution to Türkiye’s aviation and space industry by producing mission-critical aviation cables, connectors, and cable assemblies through high-technology and flexible solutions. The company aims to provide the design, development, mass production, and after-sales services of cable, connector, and cable assembly systems in compliance with relevant standards, utilizing domestic and national capabilities. Beyond being solely a manufacturing company, AKK was founded to create a qualified workforce in Adıyaman, enable technology transfer, and contribute to the socio-economic transformation of the region. By developing advanced technology solutions for various sectors—primarily aviation, automotive, energy, and telecommunications—we bring our engineering expertise to the global stage and create sustainable value in the international market.",https://sahaexpo.com/en/katilimci/adiyaman-kablo
ADNEC,1,1A-07,,customer.services@adnec.ae,www.adnecgroup.ae,Khaleej Al Arabi Street,Emirates,"ADNEC Group, founded in 2005, is a diversified UAE-based conglomerate operating across venues, events, F&B, hotels, services, tourism, and media. Aligned with Abu Dhabi’s Economic Vision 2030, the Group drives economic growth and diversification through impactful investments, world-class services, and strategic contributions to the Emirate’s long-term development goals.",https://sahaexpo.com/en/katilimci/adnec
ADOZ MÜHENDISLIK,2,2D-03a,"Cabling and Power Distribution Systems, Electronic & Electromechanical Systems, Vehicle-Mounted Equipment Systems, Aircraft and Aviation Technologies",info@adozmuhendislik.com,adozmuhendislik.com,Fatih Mah. Ege Cad. Zone B blok No:40/1 Gaziemir/İzmir,Türkiye,"Adoz Engineering provides highly reliable electromechanical interconnection and cabling solutions tailored to the demanding requirements of the Defense, Aerospace, Railway, Marine, and Industrial Automation sectors. Product Groups: • Military and Aerospace Cables • Military Heat Shrink Tubing • Military and Aerospace Connectors • Automotive Connectors • Switches • Relays • Active and Passive Components • Electronic Products Through strong partnerships with leading manufacturers in the industry, we maintain a wide stock capacity in critical product groups. With our robust supply network across Europe, America, and Asia, we deliver the products you need to your projects as quickly as possible, through both direct and indirect procurement methods.",https://sahaexpo.com/en/katilimci/adoz-muhendislik
ADT,7,7C-04b,Simulators and Trainer Systems,kaanu@adtairdefence.com,www.adtairdefence.com,Meclis-i Mebusan cd. Ülkühan No:29 Beyoğlu/İstanbul,Türkiye,Virtual Reality - Augmented Reality Tactical Training Simulators,https://sahaexpo.com/en/katilimci/adt
ADVANCED Motion Controls,2,2C-03,,info@amc.com,www.a-m-c.com/tr,"3805 Calle Tecate, Camarillo, CA 93012 ABD",States,"Sándor Barta and Daniel Schoenewald founded ADVANCED Motion Controls in 1987 driven by their shared desire to design, manufacture and sell the best servo drives. With our original private ownership still active we have proudly built and shipped nearly 3 million servo axes worldwide. From our 86,000 ft2 (8000 m2) headquarters in Camarillo, CA USA, we continue to be driven to be the best by offering a wide range of motion solutions that provide reliability and high performance in any motion control system… Any Controller, Any Motor, Any Feedback, Any Application, Any Network, Any Environment, Any Industry!",https://sahaexpo.com/en/katilimci/advanced-motion-controls
ADVANTECH,3,3F-32,,customercare@advantech.eu,www.advantech.com,"No. 1, Alley 20, Lane 26, Rueiguang Road, Neihu District, Taipei, 11491, Taiwan (R.O.C.)",Taipei,"Advantech is a global leader in IoT intelligent systems and embedded platforms, with the corporate vision of ""Enabling an Intelligent Planet."" To embrace the trends of edge computing and artificial intelligence, Advantech fully deploys its sector-driven strategy and focus on Edge Computing and Edge AI, targeting five key markets: Edge Intelligence Systems, Manufacturing, Energy and Utilities, iHealthcare, and iCity Services & iRetail. In the meantime, Advantech is enhancing its global presence and core competitiveness by integrating its Edge Computing hardware platform, the WISE-IoT software platform, and sector-specific Edge AI solutions with domain expertise. The integration will form an ""Orchestration"" model for seamless industrial chain connections, benefiting both our partners and clients. Advantech is also working with business partners to co-create business ecosystems that accelerate the goal of industrial intelligence.",https://sahaexpo.com/en/katilimci/advantech
ADY KOMPOZİT,5,5I-13d,"Composite Material Technologies, Design, Analysis, and Engineering Services, Testing and Certification Systems, Aircraft and Aviation Technologies, Engineering and Technical Consultancy Services",info@adycomposites.com,www.adycomposites.com,"Teknopark Istanbul, Sanayi Mahallesi, Teknopark Bulvarı No:1, Pendik / Istanbul, Türkiye",Türkiye,"ADY Composites Engineering is an aerospace-focused engineering company specialized in structural composite design, analysis, and product development. With proven experience in certified aircraft interior components, the company develops lightweight, high-performance, and manufacturable composite solutions. Leveraging advanced simulation capabilities including ANSYS ACP,CATIA, ADY provides engineering services and product development support to both domestic and international clients in the aviation and advanced mobility sectors.",https://sahaexpo.com/en/katilimci/ady-kompozit
AE DEFENSE,3,3G-05b,"Communication, Command Control, and Information Technologies, Information Technologies, Unmanned Systems, Sensor and Sensor Systems Technologies, Space Technologies and Satellite Systems",official@ae-defense.com,ae-defense.com,"Na Kluea, Pattaya Chon Buri 20150, Thailand",Thailand,"Aero Evolve Technology (Thailand) Co. Ltd.  delivers airspace security capabilities for critical infrastructure. We enable detection, identification, and protection against emerging drone risks in complex operational environments. Our solutions support safe, continuous operations across energy, industrial, and high-value facilities.",https://sahaexpo.com/en/katilimci/ae-defense
AEM NETWORKS,3,3B-15,,ida@ida-test.com,www.ida-test.com/markalar/aem,52 Serangoon North Avenue 4,Singapore,"AEM’s award-winning testing solutions, TestPro CV100 and Network Service Assistant, are specifically designed to support the broader testing capabilities required by modern network infrastructure",https://sahaexpo.com/en/katilimci/aem-networks
AERIX SYSTEMS,3,3A-05c,Propulsion and Power Systems,,"58 Av. Marcel Dassault, 33700 Mérignac, Fransa",,France,Our team of talented experts is ready to put its expertise at your service. We can work together to bring your most ambitious projects to fruition.,https://sahaexpo.com/en/katilimci/aerix-systems
AEROFIX,1,1B-07,"Testing and Certification Systems, Aircraft and Aviation Technologies",info@aerofix.org,aerofix.org,Kuleönü Beldesi Okul Mah. Pazar ve Kanrıcak Mevkii Küme Evleri No: 4AB - Merkez/ISPARTA,Türkiye,"Aerofix Aviation is the first and only authorized distributor of Robinson Helicopter in Turkey. In addition to helicopter sales, the company provides maintenance and technical services (MRO) in Isparta and also offers pilot training programs for PPL(H) and CPL(H) licenses.",https://sahaexpo.com/en/katilimci/aerofix
AEROS,5,5I-18b,"Aircraft and Aviation Technologies, Sensor and Sensor Systems Technologies, Testing and Certification Systems",infoo@aeros.com.tr,www.aeros.com.tr,Üniversiteler Mah. 1606. cad Bilkent Cyberpark C Blok 202/2 Çankaya Ankara,Türkiye,What we do? System integration to air platforms/modernisation of air platforms Engineering services for product development and certification services for aircrafts Products for aircrafts Prototype production and testing services for aircrafts Aviation training,https://sahaexpo.com/en/katilimci/aeros
AFT,8,8H-15b,,info@aftgmbh.com,aftwatermist.com,"Heggenkamp 15, D-49163 Bohmte, Germany",Germany,"Advanced Firefighting Technology GmbH has succeeded in combining the two most natural resources for its distinguishing products: Water and Air . This revolutionary water mist technology outperforms conventional firefighting devices in its efficiency and environmental safety. Today, AFT has grown into a world-leading company in the development and application of innovative Low-Pressure Water Mist & CAFS firefighting technology. AFT offers a variety of world-class firefighting systems ranging from backpack systems to Skid systems that are used by firefighters worldwide and met with great interest and international endorsement. AFT has its manufacturing and R&D facility in Germany and Regional Offices in Malaysia, Turkey, India, and the UAE.",https://sahaexpo.com/en/katilimci/aft
AĞAOĞLU HAVACILIK,8,8H-14b,Weapons and Ammunitions,info@ahss.com.tr,www.ahss.com.tr,SERİFALİ MH HATTA SOK NO:51 ÜMRANİYE/ISTANBUL,Türkiye,"With a robust network of 85 major distributors across 30 countries, AGAOGLU KOR ARMS delivers high-performance 9mm semi-automatic handguns that exceed the rigorous demands of the U.S. and European markets. The KOR ARMS Edge Superior Material Science: Engineered with  4340 steel and high-durability polymers for unmatched reliability. Manufacturing Excellence: Our AHSS and KOR series are crafted under strict CIP standards, ensuring extreme longevity and flawless cycling. Global Presence: A trusted name at the world's premier defence exhibitions Experience the Future of Firearms Technology.",https://sahaexpo.com/en/katilimci/agaoglu-havacilik
AHSEN SAVUNMA,4,4F-20c,"Machinery and Other Manufacturing Equipment, Software and Artificial Intelligence, Vehicle-Mounted Equipment Systems, Material and Material Shaping Technologies, Unmanned Systems, Communication, Command Control, and Information Technologies",info@ahsensavunma.com,www.ahsensavunma.com.tr,mende köyü kaşbelen mücavir mevki atatürk bulvarı sk. no:351/a,Türkiye,"Ahsen Savunma sanayi a.ş is a pioneering defense industry firm, developing innovative solutions for modern land platforms. Our tracked vehicles are designed for both manned and unmanned operations, meeting the diverse demands of today’s battlefield. The Amarok vehicle features a concealed, retractable weapon system that ensures operational flexibility and tactical advantage. Our sniper weapon platform delivers precision and reliability, providing strategic superiority in critical missions. Beyond defense systems, we are also a mechatronics company, combining expertise in mechanics, electronics, and software integration to deliver advanced engineering solutions with high added value. Our mission is to develop reliable, sustainable, and nationally rooted defense technologies, while our vision is to become a global leader shaping the future of defense and technology innovation",https://sahaexpo.com/en/katilimci/ahsen-savunma
Ai-Thinker,2,2C-05,,info@e-kom.com,en.ai-thinker.com,"Room408-410, Building C, Huafeng Intelligence Innovation Port, Gushu, Xixiang, Baoan District, Shenzhen,518126 ,China",China,"B&T provides customers with low-power, wide coverage, small size, strong signal WiFi modules, provides cloud services and apps to help customers take the first step of wireless connection of smart products.",https://sahaexpo.com/en/katilimci/ai-thinker
AID,2,2D-13e,,info@ozdisan.com,www.ozdisan.com/ureticiler/aid,ÖZDİSAN-TÜRKİYE,Türkiye,"Uzman bir film kondansatör üreticisi olan AID Electronics Corporation, DC ve AC kondansatörler üretmektedir. Ürünleri UL, VDE, ENEC, CE, CQC, KC güvenlik onaylarına sahip olan şirket, ISO-9001:2008 kalite güvence sertifikasına sahiptir. AID Electronics Corporation, OEM (Orijinal Ürün Üreticisi) müşterilerinin siparişlerinde yer alan her bir kondansatörün üretim sürecinde maksimum tutarlılığı sağlamak adına verimli otomatik ekipmanlar kullanmaktadır.",https://sahaexpo.com/en/katilimci/aid
AIDRONESUA,1,1A-04,Unmanned Systems,,,,,AIDRONESUA is modern production company specializing in the development of unmanned systems. It researches and uses modern technologies to create highly efficient robotic complexes.,https://sahaexpo.com/en/katilimci/aidronesua
